#
# TOTAL DE REGISTROS POR TABELA - VDB FINANCEIRO
# Gerado em: 2025-07-30 (até 20250729)
#

WD_ORGAO_AUTORIZADO_CCON                     = 11.843
WD_ORGAO_AUTORIZADO_EVENTO                   = 37.776
WD_ORGAO_DESTINO                             = 620
WD_ORGAO_EXERCICIO                           = 10.943
WD_ORGAO_MAXI                                = 84
WD_ORGAO_ORIGEM                              = 620
WD_ORGAO_SUPE                                = 122
WD_ORGAO_SUPERIOR_DESTINO                    = 115
WD_ORGAO_SUPERIOR_ORIGEM                     = 143
WD_ORGAO_SUPERIOR_VINC                       = 115
WD_ORGAO_SUPE_EXERCICIO                      = 1.419
WD_ORGAO_VINC                                = 620
WD_ORIGEM_DESTINO_SERV                       = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_ORIGEM_GRU                                = 10
WD_ORIGEM_INSCRICAO_EVENTO                   = 5
WD_ORIGEM_MATERIAL_NE                        = 6
WD_ORIGEM_RECEITA2_NARE                      = 43
WD_ORIGEM_RECEITA_NARE                       = 44
WD_PAGAMENTO_GPS                             = 186
WD_PAIS                                      = 210
WD_PARAMETRO_CONTROLE_SFC                    = 9
WD_PARENTESCO_VINC                           = 131
WD_PI                                        = 725.566
WD_PLANO_CARGO                               = 17
WD_PO                                        = 104.094
WD_PODER_ORGAO                               = 6
WD_PODER_SIORG                               = 7
WD_PRODUTO                                   = 5.928
WD_PROGRAMA_PT                               = 1.390
WD_PROVISORIO_EVENTO                         = 5
WD_PT                                        = 215.014
WD_PTRES                                     = 356.624
WD_RAVC_CCON                                 = 5
WD_RECEITA                                   = 2.920
WD_RECEITA_MUNICIPAL_ESTADUAL                = 1.913
WD_RECOLHIMENTO_GRU                          = 1.943
WD_RECURSO                                   = 13
WD_REGIAO                                    = 10
WD_REGIME_JURIDICO                           = 17
WD_REQUISICAO                                = 3
WD_REQUISICAO_DETA                           = 3
WD_RESTRICAO_FONTE_EVENTO                    = 11
WD_RESTRICAO_UO_EVENTO                       = 6
WD_REST_EXEC_NE_EVENTO                       = 28
WD_REST_FORE_EVENTO                          = 49
WD_REST_GESTAO_EMITENTE_EVENTO               = 17
WD_REST_TIPO_ADMIN_EVENTO                    = 18
WD_REST_UG_EMITENTE_EVENTO                   = 63
WD_REST_UG_FAVO_EVENTO                       = 41
WD_RESULTADO_LEI                             = 12
WD_RIP                                       = 76.666
WD_RTN_CEOR                                  = 79
WD_RUBRICA2_NARE                             = 363
WD_RUBRICA_NARE                              = 289
WD_RUBRICA_VINC                              = 30.364
WD_SEXO                                      = 4
WD_SIMPLES_GFIP                              = 5
WD_SIORG                                     = 165.034
WD_SIORG_EXERCICIO                           = 1.105.051
WD_SIORG_N01                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N01_EXERCICIO                       = 290
WD_SIORG_N02                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N02_EXERCICIO                       = 272
WD_SIORG_N03                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N03_EXERCICIO                       = 355
WD_SIORG_N04                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N04_EXERCICIO                       = 867
WD_SIORG_N05                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N05_EXERCICIO                       = 2.685
WD_SIORG_N06                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N06_EXERCICIO                       = 20.225
WD_SIORG_N07                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N07_EXERCICIO                       = 113.379
WD_SIORG_N08                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N08_EXERCICIO                       = 351.376
WD_SIORG_N09                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N09_EXERCICIO                       = 387.146
WD_SIORG_N10                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N10_EXERCICIO                       = 189.338
